Titulo,Año de estreno - Año finalización,Generos
El primer vengador: la guerra de los héroes,2016,"Action, Adventure, Sci-Fi"
Spider-Man: Lejos de casa,2019,"Action, Adventure, Sci-Fi"
MacGyver,2016–2021,"Action, Adventure, Drama"
Logan: Wolverine,2017,"Action, Drama, Sci-Fi"
Guardians of the Galaxy Vol. 3,2023,"Action, Adventure, Comedy"
Battle Angel: la última guerrera,2019,"Action, Adventure, Sci-Fi"
Falcon y el soldado del invierno,2021,"Action, Adventure, Drama"
Guardianes de la Galaxia Vol. 2,2017,"Action, Adventure, Comedy"
Elementary,2012–2019,"Crime, Drama, Mystery"
Naruto,2002–2007,"Animation, Action, Adventure"
Legion,2017–2019,"Action, Drama, Sci-Fi"
Kingsman: El servicio secreto,2014,"Action, Adventure, Comedy"
Naruto: Shippûden,2007–2017,"Animation, Action, Adventure"
Los guardianes de la bahía,1989–2001,"Action, Adventure, Crime"
Supergirl,2015–2021,"Action, Adventure, Drama"
Hechiceras,2018–2022,"Drama, Fantasy, Mystery"
X-Men,2000,"Action, Adventure, Sci-Fi"
El Sorprendente Hombre-Araña,2012,"Action, Adventure, Sci-Fi"
Doom Patrol,2019– ,"Action, Adventure, Comedy"
My Hero Academia,2016– ,"Animation, Action, Adventure"
X-Men: Apocalipsis,2016,"Action, Adventure, Sci-Fi"
Venom,2018,"Action, Adventure, Sci-Fi"
The Flash,2023,"Action, Adventure, Fantasy"
"Watchmen, los vigilantes",2009,"Action, Drama, Mystery"
Constantine,2005,"Action, Fantasy, Horror"
Linterna Verde,2011,"Action, Adventure, Sci-Fi"
Secret Invasion,2022– ,"Action, Adventure, Drama"
Fragmentado,IX) (2016,"Horror, Thriller"
Blindspot,2015–2020,"Action, Crime, Drama"
Jessica Jones,2015–2019,"Action, Crime, Drama"
Batman v Superman: El origen de la justicia,2016,"Action, Adventure, Sci-Fi"
Doctor Who,1963–1989,"Adventure, Drama, Family"
El hombre araña 3,2007,"Action, Adventure, Sci-Fi"
Batman,1989,"Action, Adventure"
Mujer Maravilla,2017,"Action, Adventure, Fantasy"
Van Helsing,2016–2021,"Action, Drama, Fantasy"
"Robocop, el defensor del futuro",1987,"Action, Crime, Sci-Fi"
Sense8,2015–2018,"Drama, Mystery, Sci-Fi"
DC Liga De Súpermascotas,2022,"Animation, Action, Adventure"
Kill Bill Vol. 1,2003,"Action, Crime, Drama"
American Gods,2017–2021,"Drama, Fantasy, Mystery"
Batgirl,2022,"Action, Adventure, Crime"
The Legend of Vox Machina,2022– ,"Animation, Action, Adventure"
Thor: Un mundo oscuro,2013,"Action, Adventure, Fantasy"
Miraculous: Las Aventuras de Ladybug,2015– ,"Animation, Action, Adventure"
JoJo's Bizarre Adventure,2012– ,"Animation, Action, Adventure"
El hombre de acero,2013,"Action, Adventure, Sci-Fi"
Shin Ultraman,2022,"Action, Adventure, Drama"
Iron Man 3,2013,"Action, Adventure, Sci-Fi"
Kung Fu,2021– ,"Action, Adventure, Drama"
La liga extraordinaria,2003,"Action, Adventure, Fantasy"
Hulk,2003,"Action, Sci-Fi"
Fullmetal Alchemist: Brotherhood,2009–2012,"Animation, Action, Adventure"
X-Men: Días del futuro pasado,2014,"Action, Adventure, Sci-Fi"
El sorprendente Hombre Araña 2: la amenaza de Electro,2014,"Action, Adventure, Sci-Fi"
Heroes,II) (2006–2010,"Drama, Fantasy, Sci-Fi"
Ant-Man and the Wasp: Quantumania,2023,"Action, Adventure, Comedy"
Batman & Robin,1997,"Action, Sci-Fi"
X-Men: Primera generación,2011,"Action, Adventure, Sci-Fi"
El primer vengador 2: Segunda guerra,2014,"Action, Adventure, Sci-Fi"
The Marvels,2023,"Action, Adventure, Fantasy"
"La vigilante del futuro, Ghost in the Shell",2017,"Action, Crime, Drama"
Mujer Maravilla 1984,2020,"Action, Adventure, Fantasy"
¡Shazam!,2019,"Action, Adventure, Comedy"
Watchmen,2019,"Crime, Drama, Mystery"
Bloodshot,2020,"Action, Adventure, Sci-Fi"
Blade: Cazador de vampiros,1998,"Action, Horror, Sci-Fi"
Los nuevos mutantes,2020,"Action, Horror, Mystery"
The OA,2016–2019,"Drama, Fantasy, Mystery"
The Magicians,2015–2020,"Drama, Fantasy, Mystery"
El hombre araña 2,2004,"Action, Adventure, Sci-Fi"
Los Nevers,2021– ,"Action, Drama, Fantasy"
X-Men: Dark Phoenix,2019,"Action, Adventure, Sci-Fi"
Batman,1966–1968,"Action, Adventure, Comedy"
Harley Quinn,2019– ,"Animation, Action, Adventure"
El castigador,2004,"Action, Crime, Drama"
V de Venganza,2005,"Action, Drama, Sci-Fi"
Batman: La serie animada,1992–1995,"Animation, Action, Adventure"
Batwoman,2019–2022,"Action, Adventure, Crime"
Iron Man 2,2010,"Action, Adventure, Sci-Fi"
Ant-Man: El hombre hormiga,2015,"Action, Adventure, Comedy"
Shadowhunters,2016–2019,"Action, Drama, Fantasy"
El vengador fantasma,2007,"Action, Fantasy, Thriller"
Scorpion,2014–2018,"Action, Crime, Drama"
Warrior,2019– ,"Action, Crime, Drama"
Superman: el film,1978,"Action, Adventure, Sci-Fi"
Batman eternamente,1995,"Action, Adventure"
Hombres de Negro Internacional,2019,"Action, Adventure, Comedy"
Kingsman: El Círculo Dorado,2017,"Action, Adventure, Comedy"
TRON: El legado,2010,"Action, Adventure, Sci-Fi"
Cowboy Bebop,2021,"Action, Adventure, Comedy"
Stargirl,2020– ,"Action, Adventure, Crime"
La máscara,1994,"Action, Comedy, Crime"
Los increíbles,2004,"Animation, Action, Adventure"
Hércules,1997,"Animation, Adventure, Comedy"
Dragon Ball Z,1989–2003,"Animation, Action, Adventure"
Aves de presa y la fantabulosa emancipación de una Harley Quinn,2020,"Action, Adventure, Comedy"
Una Película Épica,2007,"Adventure, Comedy, Fantasy"
Shazam! Fury of the Gods,2022,"Action, Adventure, Comedy"
Penny Dreadful,2014–2016,"Drama, Fantasy, Horror"
Bleach,2004–2012,"Animation, Action, Adventure"
Kick-Ass: un superhéroe sin superpoderes,2010,"Action, Comedy, Crime"
Naomi,2022,"Action, Adventure, Drama"
Star Wars: The Bad Batch,2021– ,"Animation, Action, Adventure"
Batman vs. Superman: El origen de la justicia,2016,"Action, Adventure, Sci-Fi"
The Boys: Diabolical,2022– ,"Animation, Short, Action"
Echo,2023– ,"Action, Adventure, Crime"
Las Tortugas Ninja,1990,"Action, Adventure, Comedy"
La vieja guardia,2020,"Action, Adventure, Fantasy"
"Sabrina, la bruja adolescente",1996–2003,"Comedy, Family, Fantasy"
Dr. Strange,1978 TV Movie,"Action, Fantasy"
El mundo oculto de Sabrina,2018–2020,"Drama, Fantasy, Horror"
Matrix recargado,2003,"Action, Sci-Fi"
Viajeros,2016–2018,"Drama, Mystery, Sci-Fi"
One Punch Man,2015–2019,"Animation, Action, Comedy"
Grandes héroes,2014,"Animation, Action, Adventure"
Power Rangers,1993–1996,"Action, Adventure, Family"
La leyenda de Korra,2012–2014,"Animation, Action, Adventure"
Destino: La saga Winx,2021– ,"Action, Adventure, Drama"
Catwoman: Cazado,2022,"Animation, Action, Crime"
Lucy,I) (2014,"Action, Sci-Fi, Thriller"
Glass,2019,"Drama, Horror, Sci-Fi"
El equipo A,1983–1987,"Action, Adventure, Crime"
X-Men orígenes: Wolverine,2009,"Action, Sci-Fi"
Dredd,2012,"Action, Crime, Sci-Fi"
MacGyver,1985–1992,"Action, Adventure, Crime"
Agent Carter,2015–2016,"Action, Adventure, Sci-Fi"
Batman regresa,1992,"Action, Crime, Fantasy"
Ant-Man and the Wasp,2018,"Action, Adventure, Comedy"
Se busca,2008,"Action, Crime, Thriller"
Misfits,2009–2013,"Comedy, Drama, Fantasy"
Birdman o la inesperada virtud de la ignorancia,2014,"Comedy, Drama"
El Cuervo,1994,"Action, Crime, Drama"
Jumper,2008,"Action, Adventure, Sci-Fi"
Rápidos y furiosos 7,2015,"Action, Crime, Thriller"
Cazafantasmas,2016,"Action, Comedy, Fantasy"
Pennyworth,2019– ,"Action, Crime, Drama"
Iron Fist,2017–2018,"Action, Adventure, Crime"
Star Trek: Lower Decks,2020– ,"Animation, Action, Adventure"
Superhéroes: la película,2008,"Action, Comedy, Sci-Fi"
Rápidos y furiosos 8,2017,"Action, Crime, Thriller"
Hombres de negro,1997,"Action, Adventure, Comedy"
El último maestro del aire,2010,"Action, Adventure, Family"
Power Rangers,2017,"Action, Adventure, Fantasy"
Cowboy Bebop,1998–1999,"Animation, Action, Adventure"
X-Men III: La batalla final,2006,"Action, Adventure, Sci-Fi"
Súper escuela de héroes,2005,"Action, Comedy, Family"
Kick-Ass 2,2013,"Action, Comedy, Crime"
El rostro de la venganza,1990,"Action, Sci-Fi, Thriller"
Hellboy,2019,"Action, Adventure, Fantasy"
Kill Bill Vol. 2,2004,"Action, Crime, Thriller"
Poder sin límites,2012,"Action, Drama, Sci-Fi"
Puffins Impossible,2021– ,Animation
Los 4 Fantásticos y Silver Surfer,2007,"Action, Adventure, Fantasy"
Blade: Trinity,2004,"Action, Horror, Sci-Fi"
Los increíbles 2,2018,"Animation, Action, Adventure"
Samaritan,2022,"Action, Drama, Fantasy"
X-Men 2,2003,"Action, Sci-Fi, Thriller"
Las aventuras del niño tiburón y la niña de fuego,2005,"Action, Adventure, Comedy"
Hellboy,2004,"Action, Adventure, Fantasy"
Daredevil: El hombre sin miedo,2003,"Action, Crime"
Blade II,2002,"Action, Horror, Sci-Fi"
Flash Gordon,1980,"Action, Adventure, Sci-Fi"
El vengador tóxico,1984,"Action, Comedy, Horror"
Luke Cage,2016–2018,"Action, Crime, Drama"
Los padrinos mágicos,2001–2017,"Animation, Adventure, Comedy"
Space Jam 2: Una Nueva Era,2021,"Animation, Adventure, Comedy"
Movie 43,2013,Comedy
"Kit, el auto increíble",1982–1986,"Action, Crime, Drama"
LEGO Batman: La película,2017,"Animation, Action, Adventure"
Matrix: Revoluciones,2003,"Action, Sci-Fi"
Spider-Man: Across the Spider-Verse,2023,"Animation, Action, Adventure"
El protegido,2000,"Drama, Mystery, Sci-Fi"
La máscara del Zorro,1998,"Action, Adventure, Comedy"
Henry Danger,2014–2020,"Action, Comedy, Family"
Barb Wire,1996,"Action, Sci-Fi"
Wolverine: Inmortal,2013,"Action, Sci-Fi"
La gran aventura Lego,2014,"Animation, Action, Adventure"
The Defenders,2017,"Action, Adventure, Crime"
Hijo de la oscuridad: Brightburn,2019,"Drama, Horror, Mystery"
Into the Badlands,2015–2019,"Action, Adventure, Drama"
The Librarians,2013–2018,"Action, Adventure, Comedy"
Deadpool 3,,"Action, Comedy, Sci-Fi"
Kraven the Hunter,2023,"Action, Adventure, Sci-Fi"
Pico de Azúcar,2012,"Animation, Adventure, Comedy"
Timecop: Policía del futuro,1994,"Action, Crime, Sci-Fi"
La leyenda de Sleepy Hollow,2013–2017,"Action, Adventure, Crime"
"Buffy, la caza vampiros",1992,"Action, Comedy, Fantasy"
I Am Groot,2022– ,"Animation, Short, Action"
Megamente,2010,"Animation, Action, Comedy"
Steven Universe,2013–2020,"Animation, Short, Action"
Tortugas ninja,2014,"Action, Adventure, Comedy"
Rocketeer: El hombre cohete,1991,"Action, Adventure, Family"
Ragnarok,2020– ,"Action, Drama, Fantasy"
Blade,,"Action, Adventure, Fantasy"
Runaways,2017–2019,"Action, Drama, Sci-Fi"
Warrior Nun,2020– ,"Action, Drama, Fantasy"
Sonic the Hedgehog 3,,"Animation, Action, Adventure"
Los ángeles de Charlie,1976–1981,"Action, Adventure, Crime"
El hombre increíble,1977–1982,"Action, Adventure, Drama"
Mini espías,2001,"Action, Adventure, Comedy"
The Gifted,I) (2017–2019,"Action, Drama, Fantasy"
"Howard, el superhéroe",1986,"Action, Adventure, Comedy"
The VelociPastor,2018,"Action, Adventure, Comedy"
Vuelo Nocturno 2,II) (2020,"Action, Comedy, Drama"
He-Man y los amos del universo,1987,"Action, Adventure, Fantasy"
Hombres de Negro 3,2012,"Action, Adventure, Comedy"
Tortugas Ninja 2: Fuera de las sombras,2016,"Action, Adventure, Comedy"
Los Thunderman,2013–2018,"Action, Comedy, Drama"
Phineas y Ferb,2007–2015,"Animation, Short, Action"
Esta mierda me supera,2020,"Comedy, Drama, Fantasy"
Utopia,I) (2013–2014,"Drama, Mystery, Sci-Fi"
X-Men,1992–1997,"Animation, Action, Family"
Los vengadores,1961–1969,"Action, Comedy, Crime"
Los Guardianes de la justicia,2022– ,"Animation, Action, Adventure"
Tokyo Ghoul,2014,"Animation, Action, Drama"
Patrulla de cachorros,2013– ,"Animation, Adventure, Comedy"
Mob Psycho 100,2016– ,"Animation, Action, Comedy"
La chica del tanque,1995,"Action, Comedy, Sci-Fi"
Cómo criar a un superhéroe,2019–2022,"Drama, Sci-Fi"
Dragonball evolución,2009,"Action, Adventure, Fantasy"
Superman Regresa,2006,"Action, Adventure, Sci-Fi"
Dragon Ball Super,2015–2018,"Animation, Action, Adventure"
Un par nada ejemplar,2008,Comedy
Dark Angel,2000–2002,"Action, Drama, Mystery"
Ben 10,2005–2008,"Animation, Action, Adventure"
Hancock,2008,"Action, Drama, Fantasy"
Dragon Ball,1986–1989,"Animation, Action, Adventure"
Pollo Robot,2001– ,"Animation, Short, Adventure"
Utopia,2020,"Action, Drama, Mystery"
Injustice,2021,"Animation, Action, Adventure"
Lois & Clark: Las nuevas aventuras de Superman,1993–1997,"Adventure, Comedy, Drama"
Spawn,1997,"Action, Drama, Horror"
RoboCop,2014,"Action, Crime, Sci-Fi"
El legado de Júpiter,2021,"Action, Adventure, Drama"
TRON,1982,"Action, Adventure, Sci-Fi"
Samurai Jack,2001–2017,"Animation, Action, Adventure"
Baymax!,2022– ,"Animation, Action, Adventure"
Teen Titans,2003–2006,"Animation, Action, Adventure"
Un desastre de película,2008,"Comedy, Sci-Fi"
Jonah Hex,2010,"Action, Drama, Fantasy"
Héroes,2009,"Action, Sci-Fi, Thriller"
The Musketeers,2014–2016,"Adventure, Drama"
Future Man,2017–2020,"Action, Adventure, Comedy"
Machete,2010,"Action, Crime, Thriller"
Ghost Rider: Espíritu de venganza,2011,"Action, Fantasy, Thriller"
R.I.P.D.: Policía del más allá,2013,"Action, Adventure, Comedy"
Star Trek: Prodigy,2021– ,"Animation, Action, Adventure"
Mighty Morphin Power Rangers: The Movie,1995,"Action, Adventure, Family"
Hellboy II: El ejército dorado,2008,"Action, Adventure, Fantasy"
Ironheart,,"Action, Adventure, Drama"
The Fantastic Four,1994,"Action, Adventure, Family"
Buck Rogers in the 25th Century,1979–1981,"Action, Adventure, Sci-Fi"
Æon Flux,2005,"Action, Adventure, Sci-Fi"
Bolt: Un perro fuera de serie,2008,"Animation, Adventure, Comedy"
Mystery Men,1999,"Action, Comedy, Fantasy"
Brahmastra Part One: Shiva,2022,"Action, Adventure, Fantasy"
El Santo,1962–1969,"Action, Crime, Drama"
Camino al cielo,1984–1989,"Drama, Fantasy"
¡Scooby!,2020,"Animation, Adventure, Comedy"
Forever,2014–2015,"Crime, Drama, Fantasy"
Jay and Silent Bob Reboot,2019,"Action, Adventure, Comedy"
La mujer maravilla,1975–1979,"Action, Adventure, Fantasy"
Fistful of Vengeance,2022,"Action, Crime, Drama"
Las Tortugas Ninja II,1991,"Action, Adventure, Comedy"
4400,2021–2022,"Drama, Sci-Fi"
Fuerza Trueno,2021,"Action, Adventure, Comedy"
Proyecto Power,2020,"Action, Crime, Sci-Fi"
La bella y la bestia,1987–1990,"Crime, Fantasy, Drama"
La bella y la bestia,2012–2016,"Drama, Horror, Romance"
Swamp Thing,2019,"Action, Adventure, Drama"
Super,I) (2010,"Action, Comedy, Crime"
Black Lightning,2017–2021,"Action, Drama, Sci-Fi"
Los Jóvenes Titanes en Acción,2013– ,"Animation, Short, Action"
The Guardians of the Galaxy: Holiday Special,2022,"Action, Adventure, Comedy"
El hombre nuclear,1974–1978,"Action, Crime, Drama"
El juez,1995,"Action, Crime, Sci-Fi"
Ghost in the Shell SAC_2045,2020– ,"Animation, Action, Crime"
Powerpuff,,"Action, Adventure, Comedy"
RoboCop 2,1990,"Action, Crime, Sci-Fi"
El Hombre Araña,1994–1998,"Animation, Action, Adventure"
Star Wars: Visions,2021– ,"Animation, Action, Adventure"
She-Ra y las princesas del poder,2018–2020,"Animation, Action, Adventure"
Superman II,1980,"Action, Adventure, Sci-Fi"
Supergirl,1984,"Action, Adventure, Fantasy"
The Protector,2018–2020,"Action, Fantasy, Sci-Fi"
Star vs. las fuerzas del mal,2015–2019,"Animation, Short, Action"
Devilman: Crybaby,2018,"Animation, Action, Drama"
Teenage Mutant Ninja Turtles,2012–2017,"Animation, Action, Adventure"
El superagente 86,1965–1970,"Action, Adventure, Comedy"
Amos del Universo: Revelación,2021– ,"Animation, Action, Adventure"
Airwolf,1984–1986,"Action, Adventure, Sci-Fi"
"¡Scooby Doo, dónde estás!",1969–1970,"Animation, Adventure, Comedy"
Batman,1966,"Action, Adventure, Comedy"
M.O.D.O.K.,2021,"Animation, Action, Comedy"
Catwoman,2004,"Action, Crime, Fantasy"
Ninjago: Masters of Spinjitzu,2011–2019,"Animation, Action, Adventure"
Chicken Little,2005,"Animation, Adventure, Comedy"
The Tick,2016–2019,"Action, Adventure, Comedy"
Batman,2004–2008,"Animation, Action, Adventure"
Zoom,2006,"Action, Adventure, Comedy"
Power Rangers Dino Fury,2021–2022,"Action, Adventure, Comedy"
Continuum,I) (2012–2015,"Action, Sci-Fi, Thriller"
Justice League Unlimited,2004–2006,"Animation, Action, Adventure"
Aqua Teen Hunger Force,2000–2015,"Animation, Comedy"
Capa y Puñal,2018–2019,"Action, Adventure, Drama"
"Superman IV, en busca de la paz",1987,"Action, Adventure, Sci-Fi"
La liga de la justicia,2001–2004,"Animation, Action, Adventure"
Limitless,2015–2016,"Comedy, Crime, Drama"
Jay y el silencioso Bob,2001,Comedy
Ben 10: Omniverse,2012–2014,"Animation, Action, Adventure"
The Batman 2,,"Action, Crime, Drama"
Kim Possible,2002–2007,"Animation, Action, Adventure"
Batman: Arkham Knight,2015 Video Game,"Action, Adventure, Crime"
The Venture Bros.,2003–2018,"Animation, Action, Adventure"
Mini espías 3,2003,"Action, Adventure, Comedy"
My Hero Academia: World Heroes' Mission,2021,"Animation, Action, Adventure"
Secret Headquarters,2022,"Action, Adventure, Sci-Fi"
Scooby-Doo! Mystery Incorporated,2010–2013,"Animation, Adventure, Comedy"
Elektra,2005,"Action, Adventure, Crime"
Sonic Prime,2022– ,"Animation, Action, Adventure"
Moon Knight,2019,Short
Spidey y sus sorprendentes amigos,2021– ,"Animation, Action, Adventure"
The Equalizer,1985–1989,"Action, Crime, Drama"
Blue Beetle,2023,"Action, Adventure, Sci-Fi"
Killjoys,2015–2019,"Action, Adventure, Sci-Fi"
La leyenda del Zorro,2005,"Action, Adventure, Romance"
Stitchers,2015–2017,"Crime, Drama, Sci-Fi"
Sonic Boom,2014–2017,"Animation, Short, Action"
La gran aventura LEGO 2,2019,"Animation, Action, Adventure"
Punisher: Zona de guerra,2008,"Action, Crime, Drama"
Wu Assassins,2019,"Action, Crime, Drama"
Turbocop,1986,"Action, Horror, Romance"
Star Wars: Clone Wars,2003–2005,"Animation, Action, Adventure"
Hagane no renkinjutsushi,2003–2004,"Animation, Action, Adventure"
Kung Fu,1972–1975,"Adventure, Drama, Western"
Ben 10: Ultimate Alien,2010–2012,"Animation, Action, Adventure"
Constantine,2014–2015,"Crime, Drama, Fantasy"
LazyTown,2002–2014,"Adventure, Comedy, Family"
Him-ssen yeo-ja Do Bong-soon,2017,"Comedy, Crime, Drama"
Batman del futuro,1999–2001,"Animation, Action, Adventure"
My Babysitter the Super Hero,2022,Family
Hit-Monkey,2021– ,"Animation, Action, Adventure"
Isis,1975–1976,"Adventure, Family, Fantasy"
La Liga de la Justicia Oscura: Guerra en Apokolips,2020 Video,"Animation, Action, Adventure"
The One,2001,"Action, Sci-Fi, Thriller"
Morbius: The Living Vampire,2014,"Short, Action, Horror"
Gotham Knights,2022 Video Game,"Action, Adventure, Crime"
Armor Wars,,"Action, Adventure, Drama"
La Máscara 2: El Hijo de la Máscara,2005,"Comedy, Family, Fantasy"
Los Vengadores unidos,2012–2019,"Animation, Action, Adventure"
Superman III,1983,"Action, Adventure, Comedy"
Looney Tunes: De nuevo en acción,2003,"Animation, Adventure, Comedy"
Las Tortugas Ninja,1987–1996,"Animation, Action, Adventure"
Flash,1990–1991,"Action, Crime, Fantasy"
El profesor Marston y la Mujer Maravilla,2017,"Biography, Drama, History"
Sonic X,2003–2006,"Animation, Action, Adventure"
NOS4A2,2019–2020,"Drama, Fantasy, Horror"
RoboCop 3,1993,"Action, Crime, Sci-Fi"
